# compound id (and file prefix),SMILES,iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem),experimental value (kcal/mol),experimental uncertainty (kcal/mol),Mobley group calculated value (GAFF) (kcal/mol),calculated uncertainty (kcal/mol),dG (CgenFF) lrc,std (CgenFF),dG (corrected),Crooks correction,error,Exp,MM-ASFE,MM-ASFE-err,ML-ASFE,ML-ASFE-err
mobley_588781,CCCCCCc1ccccc1,hexylbenzene,-0.04,0.6,-0.1,0.04,0.53,0.05,,,,-0.04,-0.01629247814,0.03706814227,0.1196243646,0.05933712555
mobley_2457863,COc1cccc(c1)O,3-methoxyphenol,-7.66,0.6,-6.97,0.04,-6.91,0.05,,,,-7.66,-7.197857792,0.03297115585,-7.906436614,0.06232075484
mobley_1903702,CC[C@H](C)O,butan-2-ol,-4.62,0.6,-3.15,0.03,-3.69,0.08,,,,-4.62,-3.404307234,0.02787640453,-3.450880546,0.03324017889
mobley_8785107,C[C@H]1CC[C@@H](O1)C," 2,5-dimethyltetrahydrofuran",-2.92,0.6,-1.79,0.03,-2.09,0.08,,,,-2.92,-1.690293812,0.02878061906,-1.476086279,0.03069982396
mobley_1800170,CCS,ethanethiol,-1.14,0.6,-0.4,0.02,-0.22,0.06,,,,-1.14,-0.179097617,0.02102496694,-0.1643725704,0.0295791568
mobley_9821936,c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2," 1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",-4.53,1,-1.15,0.04,-4.51,0.04,,,,-4.53,-2.932190767,0.04319574876,-3.193259899,0.04808082287
mobley_7608435,CCCCCCCC(=O)OC,methyl octanoate,-2.04,0.6,-3.04,0.04,-3.76,0.1,,,,-2.04,-2.523601001,0.03924713762,-2.203530116,0.08680117848
mobley_3525176,CCCCCc1ccccc1,pentylbenzene,-0.23,0.6,-0.09,0.02,0.36,0.09,,,,-0.23,-0.125042421,0.03498817833,-0.09561840604,0.05031201988
mobley_2844990,c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl," 1,2,3,7-tetrachlorodibenzo-p-dioxin",-3.84,1,-2.66,0.04,-3.6,0.02,,,,-3.84,-3.430836665,0.03895231288,-3.570728868,0.04278725979
mobley_1017962,CCCCCC(=O)OC,methyl hexanoate,-2.49,0.6,-3.3,0.03,-4.07,0.05,,,,-2.49,-2.909736715,0.03561942701,-2.515870513,0.07192712135
mobley_397645,CCOC(=O)c1ccccc1,ethyl benzoate,-3.64,0.6,-4.6,0.03,-2.99,0.08,,,,-3.64,-4.891925731,0.034026827,-4.635083886,0.03624051075
mobley_3234716,Cc1ccc(cc1)C,p-xylene,-0.8,0.6,-0.66,0.03,-0.08,0.02,,,,-0.8,-0.7559211384,0.02906988828,-0.7384638656,0.0308816393
mobley_1893815,C(C(Cl)(Cl)Cl)Cl," 1,1,1,2-tetrachloroethane",-1.43,0.1,-0.09,0.03,-0.71,0.07,,,,-1.43,-0.04484110547,0.02620988395,0.007541892977,0.03032704489
mobley_7988076,c1cc(ccc1C=O)O,4-hydroxybenzaldehyde,-8.83,0.6,-10.05,0.03,-8.13,0.11,,,,-8.83,-10.56750106,0.03272435735,-10.42704537,0.03718005453
mobley_8191186,C(C(F)(F)F)Cl," 2-chloro-1,1,1-trifluoro-ethane",0.06,0.6,0.23,0.02,-1.32,0.04,,,,0.06,0.3992567889,0.0225457979,0.3397765712,0.02675678215
mobley_5371840,c1ccc2c(c1)Oc3ccc(cc3O2)Cl,2-chlorodibenzo-p-dioxin,-3.1,0.1,-4.05,0.04,-2.69,0.17,,,,-3.1,-3.967487166,0.03569990177,-4.050956201,0.03925527743
mobley_5665561,Cc1cc(c2ccccc2c1)C," 1,3-dimethylnaphthalene",-2.47,0.6,-3,0.03,-1.99,0.05,,,,-2.47,-3.127105188,0.03599764019,-3.068714908,0.03811578103
mobley_1160109,C[C@@H]1CC[C@H](CC1=O)C(=C)C," (2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone",-3.75,0.21,-3.34,0.03,-5.46,0.06,,,,-3.75,-3.222729515,0.03629179749,-3.250172573,0.04262922741
mobley_5977084,Cc1cccnc1,3-methylpyridine,-4.77,0.6,-3.22,0.03,-3.99,0.05,,,,-4.77,-3.440498281,0.02771164343,-3.395283081,0.02908789703
mobley_7893124,CC(C)(C)c1ccccc1,tert-butylbenzene,-0.44,0.6,-0.8,0.03,0.13,0.08,,,,-0.44,-0.8401582591,0.03286063997,-0.8980896297,0.03492430904
mobley_352111,CC(=O)OCCOC(=O)C,2-acetoxyethyl acetate,-6.34,0.6,-8.29,0.04,-7.85,0.1,,,,-6.34,-7.893510552,0.03903356023,-7.783213591,0.06080127888
mobley_4291494,c1ccnc(c1)Cl,2-chloropyridine,-4.39,0.6,-3.87,0.03,-3.65,0.07,,,,-4.39,-3.988000364,0.02697211425,-4.049994624,0.02870268455
mobley_6430250,CCCc1ccccc1,propylbenzene,-0.53,0.6,-0.51,0.03,0.07,0.05,,,,-0.53,-0.468069814,0.03195426857,-0.4661400601,0.03886111802
mobley_9478823,Cc1ccccc1C,o-xylene,-0.9,0.6,-0.85,0.03,-0.25,0.05,,,,-0.9,-0.882361532,0.02882821688,-0.9127010687,0.03088295955
mobley_5520946,c1ccc(cc1)S,benzenethiol,-2.55,0.6,-1.5,0.03,-1.94,0.1,,,,-2.55,-1.903933605,0.02669298559,-1.813040233,0.02969840548
mobley_6794076,CC(=O)c1ccncc1,1-(4-pyridyl)ethanone,-7.62,0.6,-7.57,0.03,-9.11,0.09,,,,-7.62,-7.580276813,0.03161744228,-7.499374835,0.03297846024
mobley_6474572,C=CCl,chloroethylene,-0.59,0.6,1.16,0.02,0.28,0.08,,,,-0.59,1.088047745,0.0193757184,1.048727036,0.02090752999
mobley_7463799,c1ccc(cc1)CCCO,3-phenylpropan-1-ol,-6.92,0.6,-5.77,0.04,-6.41,0.05,,,,-6.92,-6.082240303,0.03762881772,-6.068728285,0.05552543707
mobley_5263791,CCc1cccc2c1cccc2,1-ethylnaphthalene,-2.4,0.6,-2.96,0.03,-1.99,0.11,,,,-2.4,-3.186703143,0.03507277025,-3.093652983,0.05535760795
mobley_6198745,CC(=O)OCC(COC(=O)C)OC(=O)C," 2,3-diacetoxypropyl acetate",-8.84,0.2,-12.33,0.06,-10.5,0.11,,,,-8.84,-12.17121435,0.06480516816,-12.13790784,0.1242405894
mobley_1417007,C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,captan,-9.01,1.93,-8.72,0.04,-10.99,0.16,,,,-9.01,-8.371891092,0.04151718696,-8.19049653,0.05747337635
mobley_3775790,Cn1cccc1,1-methylpyrrole,-2.89,0.6,-2.37,0.02,-2.2,0.05,,,,-2.89,-2.157741029,0.02596037531,-2.287545747,0.03043206591
mobley_1036761,C1CCC(CC1)N,cyclohexanamine,-4.59,0.6,-3.95,0.03,-3.93,0.08,,,,-4.59,-3.703086149,0.02895860061,-4.3852845,0.03390825623
mobley_8882696,C1CCOC1,tetrahydrofuran,-3.47,0.6,-2.2,0.02,-2.72,0.05,,,,-3.47,-1.806683256,0.02474552268,-1.748772255,0.02702339667
mobley_6714389,CN,methanamine,-4.55,0.6,-3.58,0.02,-3.67,0.01,,,,-4.55,-3.058617435,0.019867615,-3.733897231,0.02229436944
mobley_4687447,CCCOCCO,2-propoxyethanol,-6.4,0.6,-3.94,0.03,-5.8,0.07,,,,-6.4,-4.194797251,0.03527274499,-5.514005224,0.04709101246
mobley_5003962,c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N," 2-amino-9,10-anthraquinone",-11.53,0.29,-13.89,0.04,-13.35,0.04,,,,-11.53,-14.29828711,0.04195346657,-14.80615753,0.04522787045
mobley_8691603,Cc1cccc(c1)O,m-cresol,-5.49,0.6,-5.38,0.03,-4.94,0.01,,,,-5.49,-5.878965932,0.03106383256,-6.189917855,0.04698646917
mobley_2693089,CC(C)Cc1cnccn1,2-isobutylpyrazine,-5.04,0.6,-5.5,0.03,-4.55,0.08,,,,-5.04,-5.632171123,0.03421062821,-5.393351845,0.04034116327
mobley_2422586,CCCOC,1-methoxypropane,-1.66,0.6,-0.6,0.02,-0.96,0.05,,,,-1.66,-0.3795365083,0.02646360961,-0.3689390695,0.03143966841
mobley_4936555,Cc1cccc(c1C)Nc2ccccc2C(=O)O," 2-(2,3-dimethylphenyl)aminobenzoic acid",-6.78,0.1,-7.67,0.04,-6.76,0.11,,,,-6.78,-9.418382669,0.04710246458,-8.767064492,0.1252945852
mobley_2279874,COC(OC)OC,trimethoxymethane,-4.42,0.6,-4.62,0.03,-3.81,0.07,,,,-4.42,-4.509693904,0.03078091079,-5.078673971,0.04594622839
mobley_3969312,c1ccc(cc1)C=O,benzaldehyde,-4.02,0.6,-5.06,0.03,-3.46,0.04,,,,-4.02,-5.135544773,0.02924690298,-4.947429189,0.03170161368
mobley_6620221,CC1(Cc2cccc(c2O1)OC(=O)NC)C,carbofuran,-9.61,0.3,-11.13,0.04,-11.32,0.34,,,,-9.61,-11.24894068,0.04283880667,-11.01154136,0.0496326023
mobley_7415647,CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-]," N,N-dimethyl-4-nitro-benzamide",-11.95,0.6,-10.04,0.04,-11.84,0.28,,,,-11.95,-9.791558027,0.0377223639,-9.531459372,0.04065574808
mobley_9626434,CCOCCO,2-ethoxyethanol,-6.69,0.6,-4.41,0.03,-6.13,0.03,,,,-6.69,-4.659668852,0.03338095706,-5.228309982,0.04213047133
mobley_4287564,Cc1ccccn1,2-methylpyridine,-4.63,0.6,-3.5,0.03,-4.08,0.06,,,,-4.63,-3.619000232,0.02778688594,-3.581447405,0.02922491262
mobley_4850657,CS(=O)(=O)Cl,methanesulfonyl chloride,-4.87,0.6,-6.22,0.02,-4.32,0.08,,,,-4.87,-6.840470965,0.02687105863,-5.857064775,0.02918566413
mobley_4479135,C=C(c1ccccc1)c2ccccc2," 1,1-diphenylethene",-2.78,0.1,-2.47,0.04,-2.63,0.1,,,,-2.78,-3.065034357,0.0369992535,-2.90581384,0.04257061116
mobley_4252724,CC(C)Cc1ccccc1,isobutylbenzene,0.16,0.6,-0.26,0.03,0.5,0.04,,,,0.16,-0.2405981062,0.03289449118,-0.2463337628,0.03722745939
mobley_4188615,CN(C)C(=O)c1ccccc1," N,N-dimethylbenzamide",-9.29,0.6,-8.11,0.03,-9.06,0.18,,,,-9.29,-8.062403243,0.03498139875,-7.800332947,0.0376138295
mobley_8764620,c1cc(cnc1)C#N,pyridine-3-carbonitrile,-6.75,0.6,-5.58,0.03,-8.01,0.07,,,,-6.75,-5.856068707,0.02837561481,-5.800529222,0.02970314037
mobley_5445548,CC(C)c1ccccc1,cumene,-0.3,0.6,-0.67,0.03,0.06,0.04,,,,-0.3,-0.6198368689,0.03092239102,-0.6559323991,0.03410839775
mobley_5006685,CC(=C)[C@H]1CCC(=CC1)C=O,4-(1-Methylethenyl)-1-cyclohexene-1-carboxaldehyde,-4.09,0.17,-3.59,0.03,-3.81,0.02,,,,-4.09,-4.060867783,0.03621381875,-4.332186353,0.08807104722
mobley_5538249,c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl," 1,3,5-trichloro-2-phenyl-benzene",-2.16,0.1,-1.15,0.04,-2.13,0.06,,,,-2.16,-1.80646183,0.03719900058,-1.731917216,0.04098603783
mobley_8713762,CCCN(CCC)C(=O)SCCC," N,N-dipropyl(propylsulfanyl)formamide",-4.13,1.36,-4.57,0.04,-5.79,0.37,,,,-4.13,-4.312021666,0.04405275168,-3.36365447,0.1755419038
mobley_8467917,CCCC/C=C/C,hept-2-ene,1.68,0.6,2.78,0.03,2.07,0.04,,,,1.68,2.700458924,0.02966272034,2.647613222,0.05389401016
mobley_4715906,C[C@@H]1CCCC[C@@H]1C," 1,2-dimethylcyclohexane",1.58,0.6,1.69,0.03,1.94,0.02,,,,1.58,1.764544624,0.02973735297,1.821627065,0.03185120652
mobley_1855337,c1c(cc(c(c1Cl)Cl)Cl)Cl," 1,2,3,5-tetrachlorobenzene",-1.62,0.6,0.14,0.03,-1.39,0.08,,,,-1.62,-0.2196362795,0.03040041177,-0.3109284096,0.03256817876
mobley_8337722,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C," (1R,2S,5R)-2-isopropyl-5-methylcyclohexanol",-3.2,0.28,-3.35,0.04,-3.04,0.34,,,,-3.2,-3.705338497,0.03861488794,-3.928352402,0.04877347588
mobley_5079234,CCCCCCCO,heptan-1-ol,-4.21,0.6,-2.92,0.03,-3.9,0.16,,,,-4.21,-2.983843811,0.03354044578,-3.030521048,0.06464339884
mobley_5816127,COCCO,2-methoxyethanol,-6.62,0.4,-4.69,0.03,-6.15,0.04,,,,-6.62,-4.802840846,0.03129364995,-5.986483137,0.04312635217
mobley_3060426,CC(C)CCC(C)(C)C," 2,2,5-trimethylhexane",2.93,0.6,2.97,0.03,3.15,0.1,,,,2.93,3.098460626,0.03408077166,3.170930422,0.03642227812
mobley_6739648,C1COCCO1," 1,4-dioxane",-5.06,0.6,-4.27,0.02,-4.6,0.11,,,,-5.06,-3.769481065,0.02609981394,-3.653193667,0.02727273041
mobley_282648,c1ccc2ccccc2c1,naphthalene,-2.4,0.6,-3.21,0.03,-2.17,0.07,,,,-2.4,-3.350985437,0.03001731652,-3.333530867,0.03293344673
mobley_9794857,CC(C)(C)OC,2-methoxy-2-methyl-propane,-2.21,0.6,-0.69,0.03,-1.82,0.06,,,,-2.21,-0.5491429396,0.02770022933,-0.5361386194,0.02949431313
mobley_4884177,CCc1cccnc1,3-ethylpyridine,-4.59,0.6,-2.96,0.03,-4.3,0.07,,,,-4.59,-3.12795085,0.02974909284,-3.062491628,0.03283439763
mobley_3187514,Cc1ccccc1N,2-methylaniline,-5.53,0.6,-5.33,0.03,-5.29,0.04,,,,-5.53,-5.601970755,0.03061313648,-6.36474031,0.03408889919
mobley_5759258,CCCCCO,pentan-1-ol,-4.57,0.6,-3.05,0.03,-4.22,0.05,,,,-4.57,-3.252679043,0.03011878437,-3.374164967,0.05576742807
mobley_3211679,C1CCC=CC1,cyclohexene,0.14,0.1,1.18,0.02,0.49,0.04,,,,0.14,1.284651115,0.0253722121,1.276288803,0.02715796269
mobley_6935906,CC(=CCC[C@](C)(C=C)OC(=O)C)C," (3R)-3,7-Dimethylocta-1,6-dien-3-yl acetate",-2.49,0.85,-2.96,0.04,-4.12,0.59,,,,-2.49,-2.454930185,0.04385598827,-3.800047824,0.1934269424
mobley_7608462,c1ccc(cc1)Cl,chlorobenzene,-1.12,0.6,-0.47,0.02,-0.81,0.08,,,,-1.12,-0.7219486647,0.02534521167,-0.7542075704,0.02740256395
mobley_1144156,CCOCC,ethoxyethane,-1.59,0.6,-0.62,0.02,-1.18,0.06,,,,-1.59,-0.4288979919,0.02596776262,-0.40929484,0.02816211636
mobley_2613240,COc1ccccc1OC," 1,2-dimethoxybenzene",-5.33,0.1,-4.05,0.03,-5.17,0.66,,,,-5.33,-3.776593165,0.03343230238,-4.621494372,0.04731738367
mobley_6102880,c1ccc(cc1)Oc2ccccc2,diphenyl ether,-2.87,0.69,-2.81,0.03,-2.83,0.19,,,,-2.87,-3.131882421,0.03543188228,-3.179713143,0.03862544963
mobley_5973402,CC(C)CCO,3-methylbutan-1-ol,-4.42,0.6,-3.24,0.03,-4.08,0.15,,,,-4.42,-3.319502828,0.03000532635,-3.337425056,0.04845233252
mobley_3395921,C1CCOCC1,tetrahydropyran,-3.12,0.6,-1.81,0.02,-2.78,0.07,,,,-3.12,-1.601567278,0.02607993651,-1.531340265,0.02731277967
mobley_3999471,CC(Cl)Cl," 1,1-dichloroethane",-0.84,0.6,0.19,0.02,-0.46,0.06,,,,-0.84,0.1350706417,0.02264952315,0.1770771398,0.0244646599
mobley_7017274,c1ccc2c(c1)ccc3c2cccc3,phenanthrene,-3.88,0.6,-5.26,0.03,-3.94,0.13,,,,-3.88,-5.595125873,0.03528770707,-5.472171269,0.03882073676
mobley_4338603,c1c(=O)[nH]c(=O)[nH]c1Cl,6-chlorouracil,-15.83,1.22,-15.13,0.03,-15.67,0.07,,,,-15.83,-15.1857205,0.03381100382,-14.9941865,0.0388193523
mobley_1019269,CCCCO,butan-1-ol,-4.72,0.6,-3.23,0.03,-4.36,0.08,,,,-4.72,-3.278441139,0.02768969272,-3.353988874,0.04343612282
mobley_5220185,CCc1cnccn1,2-ethylpyrazine,-5.45,0.6,-5.81,0.03,-5.2,0.04,,,,-5.45,-6.007867567,0.03046167592,-5.803421417,0.03329602659
mobley_3727287,C1=CC(=O)C=CC1=O,quinone,-6.5,0.2,-6.96,0.03,-7.52,0.02,,,,-6.5,-6.808796717,0.02866263649,-6.650243909,0.03133273702
mobley_4762983,CCCCCC=C,hept-1-ene,1.66,0.6,2.76,0.03,1.89,0.1,,,,1.66,2.776479936,0.02874479352,2.767147841,0.04198294828
mobley_2789243,c1cc(cnc1)Cl,3-chloropyridine,-4.01,0.6,-2.77,0.03,-3.74,0.02,,,,-4.01,-3.038765133,0.02636074193,-3.010598366,0.02777932779
mobley_4561957,CC(C)C(C)C," 2,3-dimethylbutane",2.34,0.6,2.47,0.03,2.61,0.07,,,,2.34,2.587195682,0.02761841621,2.63429425,0.03059588472
mobley_4177472,CC(C)C(C)C(C)C," 2,3,4-trimethylpentane",2.56,0.6,2.67,0.03,2.72,0.09,,,,2.56,2.697970564,0.03184996655,2.630743966,0.03558337356
mobley_9100956,CC1CCCCC1,methylcyclohexane,1.7,0.6,1.68,0.03,1.92,0.05,,,,1.7,1.819604978,0.02834231539,1.903598242,0.03003541867
mobley_2960202,c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2," 1,2,3,4,7,8-hexachlorodibenzo-p-dioxin",-3.71,1,-1.88,0.04,-4.14,0.13,,,,-3.71,-3.103194668,0.04114108741,-3.283627698,0.04498619276
mobley_6571751,CC1=CCCCC1,1-methylcyclohexene,0.67,0.6,1.34,0.03,0.86,0.07,,,,0.67,1.325498323,0.02818213634,1.333719562,0.02968189638
mobley_6688723,COc1c(cc(c(c1O)OC)Cl)Cl," 3,5-dichloro-2,6-dimethoxyphenol",-6.44,0.38,-5.98,0.04,-7.7,0.51,,,,-6.44,-6.575922781,0.03770084812,-6.743319196,0.04195208463
mobley_486214,COc1cccc(c1O)OC," 2,6-dimethoxyphenol",-6.96,0.1,-7.39,0.04,-8.1,0.33,,,,-6.96,-7.319688542,0.03586383528,-8.093206135,0.04348542141
mobley_3370989,CC(F)F," 1,1-difluoroethane",-0.11,0.6,0.23,0.02,0.33,0.02,,,,-0.11,0.2910296904,0.02102087328,0.2618969947,0.02246009436
mobley_9112978,CC/C=C\C,pent-2-ene,1.31,0.6,2.37,0.02,1.6,0.08,,,,1.31,2.413229056,0.02500912016,2.418531172,0.02764375855
mobley_8668219,CC[C@@H](C)C(C)C," 2,3-dimethylpentane",2.52,0.6,2.62,0.03,2.71,0.07,,,,2.52,2.719980769,0.0291423804,2.732521061,0.03209804363
mobley_7360181,COC(C(F)(F)F)(OC)OC," 1,1,1-trifluoro-2,2,2-trimethoxyethane",-0.8,0.2,-2.32,0.03,-0.66,0.16,,,,-0.8,-2.402202358,0.03423944152,-2.875650266,0.05114069457
mobley_5732611,Cc1c[nH]cn1,4-methyl-1H-imidazole,-10.27,0.6,-8.21,0.03,-11.11,0.04,,,,-10.27,-8.058372255,0.02732164967,-8.049133776,0.03185045063
mobley_3982371,CC(=O)OC,methyl acetate,-3.13,0.6,-3.83,0.02,-3.85,0.04,,,,-3.13,-3.565896397,0.02550808303,-3.426061227,0.02728381833
mobley_646007,C1CCNC1,pyrrolidine,-5.48,0.6,-4.28,0.02,-5.27,0.06,,,,-5.48,-3.610186158,0.02551292305,-3.817781073,0.02845626522
mobley_1650157,CC(C)(C)O,2-methylpropan-2-ol,-4.47,0.6,-3.29,0.03,-4.25,0.07,,,,-4.47,-3.627591474,0.02754746704,-3.565654285,0.0291391814
mobley_2489709,c1ccc(c(c1)Cl)Cl," 1,2-dichlorobenzene",-1.36,0.6,-0.55,0.03,-1.28,0.07,,,,-1.36,-0.8054076622,0.02739731363,-0.8409208512,0.02949874063
mobley_9705941,Cc1cccs1,2-methylthiophene,-1.38,0.6,-0.3,0.02,-1.29,0.06,,,,-1.38,-0.2268599414,0.02583652818,-0.2584048639,0.0284967931
mobley_7106722,CCCC(C)C,isohexane,2.51,0.6,2.81,0.03,2.66,0.11,,,,2.51,2.78156874,0.02735926475,2.845997875,0.03120033163
mobley_6055410,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,diflunisal,-9.4,0.2,-6.61,0.06,-9.77,0.16,,,,-9.4,-8.439925242,0.05137319645,-8.054254277,0.06217413801
mobley_1923244,CCCC,n-butane,2.1,0.2,2.59,0.02,2.34,0.05,,,,2.1,2.655619256,0.02354332872,2.723020218,0.02846692399
mobley_4690963,CCOCCOCC," 1,2-diethoxyethane",-3.54,0.6,-3.42,0.04,-3.5,0.14,,,,-3.54,-3.090826612,0.03566080186,-3.110842053,0.03868620419
mobley_349850,Cc1ccc(cc1)C(=O)C,1-(p-tolyl)ethanone,-4.7,0.6,-4.91,0.03,-4.76,0.07,,,,-4.7,-5.122408165,0.03317854375,-4.994905063,0.03483258035
mobley_2577969,c1cc2ccc3cccc4c3c2c(c1)cc4,pyrene,-4.52,0.6,-6.79,0.04,-4.91,0.05,,,,-4.52,-7.260659115,0.03685904825,-7.107286272,0.04053060846
mobley_5449201,CCCCC,n-pentane,2.3,0.2,2.67,0.02,2.46,0.07,,,,2.3,2.739231776,0.02526474695,2.756117705,0.03268751548
mobley_6812653,CCCCCC,hexane,2.48,0.6,2.85,0.03,2.57,0.07,,,,2.48,2.883474984,0.02822276595,2.96715292,0.04015099998
mobley_2771569,CN1CCNCC1,1-methylpiperazine,-7.77,0.6,-8.17,0.03,-7.68,0.33,,,,-7.77,-7.761955145,0.03181159981,-8.146759216,0.0343882254
mobley_2492140,C(C(Cl)(Cl)Cl)(Cl)Cl," 1,1,1,2,2-pentachloroethane",-1.23,0.1,0.06,0.03,-1.29,0.12,,,,-1.23,0.03340085772,0.02738083988,0.06556499802,0.0326267486
mobley_7295828,COc1ccccc1,anisole,-2.45,0.6,-2.32,0.03,-2.42,0.08,,,,-2.45,-2.432486769,0.02890960877,-2.517731913,0.0324705197
mobley_1899443,CCCC(=C)C,2-methylpent-1-ene,1.47,0.6,2.49,0.03,1.55,0.12,,,,1.47,2.59174722,0.02822827121,2.554410445,0.0385325219
mobley_819018,CC(=CCC/C(=C/CO)/C)C," (2E)-3,7-dimethylocta-2,6-dien-1-ol",-4.45,0.24,-2.52,0.04,-4.68,0.13,,,,-4.45,-3.139151986,0.03847566414,-3.142460861,0.09670070509
mobley_6896128,CCCC[C@@H](C)CC,3-methylheptane,2.97,0.6,3.03,0.03,2.94,0.08,,,,2.97,3.085703991,0.03176026011,3.20151555,0.03714073057
mobley_8006582,C1CCCC1,cyclopentane,1.2,0.6,1.65,0.02,1.32,0.07,,,,1.2,1.739128475,0.02308676637,1.873043504,0.02475647569
mobley_1520842,Cc1ccncc1,4-methylpyridine,-4.93,0.6,-3.34,0.03,-4.89,0.08,,,,-4.93,-3.635826196,0.02813261926,-3.6180578,0.02948869995
mobley_2451097,c1ccc(cc1)C#N,benzonitrile,-4.1,0.6,-3.24,0.03,-4.13,0.05,,,,-4.1,-3.619349601,0.02741455434,-3.612112104,0.02925404717
mobley_628951,c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl," 1,3-dichloro-2-(2,6-dichlorophenyl)benzene",-2.28,0.12,-1.23,0.04,-2.73,0.04,,,,-2.28,-1.989469918,0.03836793944,-2.062959219,0.04227321317
mobley_8522124,CCCCCCC#C,oct-1-yne,0.71,0.6,0.83,0.03,-0.09,0.08,,,,0.71,0.9544334387,0.03074744296,1.040685019,0.05059824669
mobley_511661,C=CC=C,butadiene,0.56,0.2,1.96,0.02,0,0.05,,,,0.56,1.903257182,0.02175522689,1.844767744,0.02383068293
mobley_5852491,CC1CCCC1,methylcyclopentane,1.59,0.6,1.78,0.02,1.63,0.08,,,,1.59,1.86851685,0.02608026474,2.001013579,0.02784664489
mobley_8789864,COC(CC#N)(OC)OC," 3,3,3-trimethoxypropanenitrile",-6.4,0.6,-5.86,0.03,-6.54,0.23,,,,-6.4,-6.455757459,0.04495580653,-8.528575205,0.05214667594
mobley_3266352,CN(CC(F)(F)F)c1ccccc1," N-methyl-N-(2,2,2-trifluoroethyl)aniline",-1.92,0.6,-3.96,0.03,-2.13,0.05,,,,-1.92,-3.312162027,0.03555450402,-4.370301053,0.04636775602
mobley_6353617,CC(=O)c1cccnc1,1-(3-pyridyl)ethanone,-8.26,0.6,-7.84,0.03,-8.37,0.15,,,,-8.26,-7.294706312,0.0331734473,-7.967510721,0.06791562336
mobley_859464,CC(C)COC(=O)C,isobutyl acetate,-2.36,0.6,-2.9,0.03,-2.42,0.1,,,,-2.36,-2.904594468,0.03269568361,-2.843559919,0.03678610697
mobley_4964807,CC(=O)CO[N+](=O)[O-],nitroxyacetone,-5.99,0.1,-5.36,0.03,-6.69,0.11,,,,-5.99,-5.183452205,0.03003396803,-7.266645876,0.1534632681
mobley_5857,c1ccc2c(c1)cccn2,quinoline,-5.72,0.6,-4.99,0.03,-5.88,0.13,,,,-5.72,-5.281016346,0.03146549406,-5.100751517,0.03380941014
mobley_8966374,Cc1cnccn1,2-methylpyrazine,-5.51,0.6,-6.16,0.03,-5.52,0.04,,,,-5.51,-6.306590208,0.02878400249,-6.126166192,0.02988578248
mobley_3425174,C(F)Cl,chloro-fluoro-methane,-0.77,0.6,-0.17,0.02,-0.6,0.07,,,,-0.77,-0.2043705925,0.01821498823,-0.1772389818,0.01958937449
mobley_1875719,CCC(=O)CC,pentan-3-one,-3.41,0.2,-3.05,0.03,-3.4,0.05,,,,-3.41,-2.695659662,0.02854768599,-2.63097635,0.03388170568
mobley_3761215,CC(Cl)(Cl)Cl," 1,1,1-trichloroethane",-0.19,0.6,0.51,0.02,-0.8,0.07,,,,-0.19,0.5504028326,0.0234228351,0.5697450366,0.02720581431
mobley_1139153,CC(C)CC(C)(C)C," 2,2,4-trimethylpentane",2.89,0.6,2.54,0.03,2.7,0.08,,,,2.89,2.834066308,0.03068691136,2.853743066,0.0334125769
mobley_2859600,C=Cc1ccccc1,styrene,-1.24,0.6,-1.08,0.03,-1.39,0.05,,,,-1.24,-1.287711457,0.02883466598,-1.241953712,0.03187896273
mobley_7393673,COc1ccc(cc1)C(=O)OC,methyl 4-methoxybenzoate,-5.33,0.6,-6.46,0.03,-5.63,0.05,,,,-5.33,-6.561728075,0.03584989451,-6.426911053,0.03920873025
mobley_2390199,CCCC(=O)CCC,heptan-4-one,-2.92,0.6,-2.7,0.03,-3.06,0.04,,,,-2.92,-2.289786894,0.03431970797,-2.086659313,0.05709887166
mobley_9740891,c1cc(c(c(c1)Cl)C#N)Cl,dichlobenil,-4.71,1.93,-3.32,0.03,-5.54,0.12,,,,-4.71,-3.673917001,0.03036784307,-3.746239736,0.03211371048
mobley_4924862,CC(C)CCOC=O,isopentyl formate,-2.13,0.6,-3.41,0.03,-2.26,0.03,,,,-2.13,-3.121015092,0.03563107865,-2.571960909,0.04672813707
mobley_2609604,CCC(C)(C)CC," 3,3-dimethylpentane",2.56,0.6,2.59,0.03,2.38,0.07,,,,2.56,2.550799241,0.02913681729,2.580213731,0.03312605122
mobley_2763835,CCOc1ccccc1,ethoxybenzene,-2.22,0.6,-2.25,0.03,-2.45,0.06,,,,-2.22,-2.286487262,0.03110819194,-2.380156231,0.03841088328
