"Mol_ID"," SMILES"," iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem)","Exp [kcal/mol]","MM-ASFE [kcal/mol]","MM-ASFE-err [kcal/mol]","ML-ASFE [kcal/mol]","ML-ASFE-err [kcal/mol]","dG (TF)","std (TF)","Crooks result","Crooks correction","Jar result","Jar correction","error"
"mobley_5600967"," CN(C)C(=O)c1ccc(cc1)OC"," 4-methoxy-N,N-dimethyl-benzamide",-11.01,-9.121,0.039,-8.994,0.048,-10.86,0.16,-10.65,0.21,-10.65,0.21,0.02
"mobley_3323117"," C1CC[S+2](C1)([O-])[O-]"," sulfolane",-8.61,-10.674,0.031,-9.673,0.037,-9.89,0.07,-10.06,-0.17,-10.06,-0.17,0.02
"mobley_3325209"," COC(c1ccccc1)(OC)OC"," trimethoxymethylbenzene",-4.04,-5.722,0.038,-6.277,0.063,-3.88,0.11,-4.21,-0.33,-4.2,-0.32,0.04
"mobley_5816127"," COCCO"," 2-methoxyethanol",-6.62,-4.803,0.031,-5.986,0.043,-6.15,0.04,-6.32,-0.17,-6.32,-0.17,0.04
"mobley_9794857"," CC(C)(C)OC"," 2-methoxy-2-methyl-propane",-2.21,-0.549,0.028,-0.536,0.029,-1.82,0.06,-1.74,0.08,-1.74,0.08,0.01
"mobley_7017274"," c1ccc2c(c1)ccc3c2cccc3"," phenanthrene",-3.88,-5.595,0.035,-5.472,0.039,-3.94,0.13,-3.82,0.12,-3.82,0.12,0.01
"mobley_5732611"," Cc1c[nH]cn1"," 4-methyl-1H-imidazole",-10.27,-8.058,0.027,-8.049,0.032,-11.11,0.04,-11.18,-0.07,-11.19,-0.08,0.01
"mobley_646007"," C1CCNC1"," pyrrolidine",-5.48,-3.61,0.026,-3.818,0.028,-5.27,0.06,-5.59,-0.32,-5.59,-0.32,0.02
"mobley_6854178"," CC(C)OC=O"," isopropyl formate",-2.02,-3.777,0.033,-2.123,0.106,-2.76,0.04,-2.79,-0.03,-2.81,-0.05,0.01
"mobley_951560"," C1CNCCN1"," piperazine",-7.4,-9.114,0.032,-9.368,0.035,-7.24,0.37,-7.56,-0.32,-7.61,-0.37,0.05
"mobley_2577969"," c1cc2ccc3cccc4c3c2c(c1)cc4"," pyrene",-4.52,-7.261,0.037,-7.107,0.041,-4.91,0.05,-4.79,0.12,-4.79,0.12,0.01
"mobley_9073553"," CSC"," methylsulfanylmethane",-1.61,0.666,0.022,0.619,0.024,-1.5,0.07,-1.36,0.14,-1.37,0.13,0.01
"mobley_7455579"," CC(C)COC=O"," isobutyl formate",-2.22,-3.879,0.034,-2.174,0.064,-2.17,0.09,-2.3,-0.13,-2.2,-0.03,0.03
"mobley_242480"," c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N"," 1,4-diamino-9,10-anthracenedione",-11.85,-16.003,0.043,-16.871,0.05,-13.13,0.17,-13.63,-0.5,-13.64,-0.51,0.02
"mobley_8124669"," CCc1cccc(c1N(COC)C(=O)CCl)CC"," alachlor",-8.21,-6.042,0.047,-5.127,0.113,-8.91,0.23,-9.79,-0.88,-9.96,-1.35,0.18
"mobley_1396156"," c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O"," pentachloronitrobenzene",-5.22,-1.446,0.034,-1.514,0.038,-6.14,0.08,-6.43,-0.29,-7.42,-0.29,0.02
"mobley_5499659"," Cn1ccnc1"," 1-methylimidazole",-8.41,-6.07,0.027,-6.125,0.032,-8.58,0.05,-8.59,-0.01,-8.57,0.01,0.02
"mobley_6843802"," c1ccc(cc1)O[C@@H](C(F)F)F"," 1,2,2-trifluoroethoxybenzene",-1.29,-3.276,0.038,-2.705,0.083,-1.61,0.22,-2.12,-0.51,-2.26,-0.65,0.05
"mobley_5200358"," CC(C)(/C=N\OC(=O)NC)SC"," aldicarb",-9.84,-7.552,0.055,-8.23,0.131,-10.5,0.83,-12.63,-2.13,-11.22,-0.72,0.19
"mobley_8754702"," CCCOC=O"," propyl formate",-2.48,-4.286,0.033,-3.138,0.061,-2.83,0.04,-2.92,-0.09,-3,-0.17,0.03
